BEIAARDLIED
"BIEREN VAN BRUSSEL, DE"
BOERENKERMIS
"BRABANCONNE, LA"
"BRUSSEL, G'ET MAAIN ÈT GESTOULE"
DISCO ROLLING
DOCHTER VAN DE PACHTER DE
"GILDE VIERT, DE"
JAN KLAASSEN WAS TROMPETTER
JEROME
"KOEKOEKSLIED, HET"
KRAMBAMBOULI
LIEDJE VOOR LEEN
NIEMAND VERSLAAT DE SAINT-V
NOOIT STERFT HET STUDENTENRAS
PIETER BREUGHEL IN BRUSSEL
PINNE MOUCHKE
"ROLDERS IN DE NACHT, DE"
ROSEMARIE
RUE DE BOUCHERS
"SMIDJE, 'T"
TOEN IK IN BRUSSEL KWAM
VERBROEDERING TE BRUSSEL
"WAAR HET HART VAN VOL IS, LOOPT DE MOND VAN OVER"
ALOHA
BANDAIS-TU?
"BIÈRE, LA"
"BONNE BIÈRE BRUXELLOISE, LA"
BOUDINS ET TEQUILA
BRUXELLES
C'ÉTAIT AU TEMPS QUE BRUXELLES GUINDAILLAIT
"CEINTURE, LA"
CHANT DES BRAVES GUEUX
CHANTONS POUR PASSER LE TEMPS
DIRK FRIMOUT
"FILLES DE LA ROCHELLE, LES"
GILDE HALEWYN
JE CHERCHE FORTUNE
JE VENDS DE CARICOLES
MANNEKEN PIS
"MARCHE DES ÉTUDIANTS, LA"
PARLONS BRUXELLOIS
ROGER
VIVRE POUR VIVRE
WOLTJE ZIEVEREIR
'S GIBT KEIN SCHÖNER LEBEN ALS STUDENTENLEBEN
BIER HER
EINE SEEFAHRT
KURFURST FRIEDRICH VON DER PFALZ
LILI MARLEEN
COCKLES AND MUSSELS
HOME ON THE RANGE
RED RIVER VALLEY
"STONECUTTERS SONG, THE"
TOM DOOLEY
"A, A, A, VALETE STUDIA"
FILIA PASTORIS
GERTJIE
STUDENTELIED
